site	machine_name	count
ecps	FW2	3
ecps	NA	7
ecps	NA2	3
ecps	NA3	2
ecps	OR	6
ecps	ORPF	3
ecps	SA	23
ecw	FW	8
ecw	FW2	9
ecw	NA2	5
ecw	ORPF	1
ecw	ORPG	1
ecww	FW	4
ecww	FW2	8
ecww	NA	4
ecww	NA2	21
ecww	OR	2
ecww	ORPG	6
ecww	SA	2
edie	FW2	2
edix	FW	10
edix	FW2	16
edix	NA	4
edix	NA2	2
edix	ORPF	8
edix	ORPG	4
edix	SA	8
edm	FW	1
edm	FW2	1
edm	NA	1
egat	OR	1
ehan	NA3	1
eicu	FW2	2
eicu	NA2	5
elca	FW2	5
elco	FW2	7
elfl	OR	13
elfl	ORPB	13
elfl	ORPC	10
elfl	ORPD	15
elfl	ORPF	13
elfl	ORPG	9
elfl	ORPH	2
elfl	ORPJ	3
elfl	SA2	1
elga	NA	8
elgp	NA3	6
elin	NA3	1
elky	NA	1
elky	NA3	1
ella	FW	1
elmo	NA2	6
elnh	NA2	2
elnv	FW2	3
elok	NA3	1
elsc	NA3	4
eltn	NA	11
eltx	FW	16
eltx	SA	28
elva	NA2	11
elys	FW2	27
emap	FW	3
emap	FW2	1
emap	NA2	1
emap	NA3	3
emap	SA	6
emca	OR3	3
emci	FW	4
emci	NA	6
emci	NA2	2
emci	NA3	4
emci	OR	10
emci	ORPF	6
emci	ORPG	2
emci	ORPH	1
empo	FW2	1
empr	OR	1
endo	FW	2
endo	FW2	12
endo	NA	12
endo	NA2	11
endo	NA3	6
endo	OR	2
endo	ORPF	4
endo	ORPJ	2
endo	SA	19
epat	ORPF	1
epic	FW2	42
epic	NA2	1
epic	SA	4
epoc	FW	14
epoc	FW2	5
epoc	NA	4
epoc	NA2	4
epoc	NA3	1
epoc	OR	4
epoc	ORPF	2
epoc	ORPJ	2
epoc	SA	22
escr	FW	21
escr	FW2	29
escr	NA	24
escr	NA2	7
escr	NA3	3
escr	OR	7
escr	ORPF	18
escr	SA	18
esid	FW2	1
esid	NA	2
essc	FW2	2
estx	FW2	6
etls	FW	1
etls	FW2	1
etls	NA	1
etls	NA2	1
etls	NA3	1
etls	OR2	1
etls	SA	1
evlf	FW2	1
expd	SA	1
fdoh	OR	1
fdoh	ORPJ	1
fmat	FW	2
fmat	FW2	1
fmat	NA	4
fmat	NA3	2
fofr	FW	11
fofr	FW2	22
fofr	NA	19
fofr	NA3	4
fofr	OR	18
fofr	ORPF	14
fofr	ORPG	13
fofr	ORPH	2
fofr	ORPJ	3
fofr	SA	7
frnt	NA2	2
frps	NA2	2
fusn	NA	4
fusn	NA3	4
fusn	ORPF	33
fusn	ORPG	14
fusn	ORPJ	2
fvce	NA	4
fvce	NA3	3
fvce	ORPF	26
fvce	ORPG	6
fvce	ORPJ	2
galv	NA2	4
game	NA	3
gcie	SA	1
gecm	FW	2
gecm	FW2	6
gecm	NA	6
gecm	NA2	4
gecm	NA3	3
gecm	OR	5
gecm	ORPF	9
gecm	ORPG	5
gecm	ORPJ	2
gecm	SA	8
gecs	FW	4
gecs	FW2	10
gecs	NA	9
gecs	NA2	8
gecs	NA3	3
gecs	OR	8
gecs	ORPF	4
gecs	ORPG	4
gecs	ORPH	2
gecs	ORPJ	3
gecs	SA	4
gemm	FW	14
gemm	FW2	4
gemm	NA	10
gemm	NA2	29
gemm	NA3	2
gemm	OR	1
gemm	ORPG	1
gemm	ORPJ	4
gemm	SA	40
gemr	FW	2
gemr	FW2	7
gemr	ORPG	3
gemr	SA	12
gems	FW	2
gems	NA	2
gems	NA2	3
gems	ORPJ	1
gems	SA	2
glur	NA2	2
glur	ORPF	2
grnr	NA	3
haem	FW2	1
hcom	OR	2
hdd	SA	1
hels	NA2	2
hhd	FW	13
hhd	SA	27
hlat	OR	5
hlat	ORPF	3
hlat	ORPG	3
hlat	ORPH	3
hlat	SA	9
hltc	FW2	6
hltc	NA	8
hltc	NA2	4
hltc	NA3	2
hltc	OR	2
hms	FW	4
hms	FW2	9
hms	NA	15
hms	NA3	10
hms	OR	2
hone	FW2	4
horz	FW	27
horz	FW2	16
horz	NA	14
horz	NA2	23
horz	NA3	5
horz	OR	64
horz	SA	70
hpf	FW	65
hpf	FW2	79
hpf	NA	74
hpf	NA2	67
hpf	NA3	25
hpf	OR	55
hpf	OR2	1
hpf	OR3	3
hpf	ORPF	43
hpf	ORPG	28
hpf	ORPH	6
hpf	ORPJ	10
hpf	SA	81
htch	FW	8
htch	FW2	18
htch	NA	11
htch	NA2	14
htch	NA3	6
htch	OR	2
htch	ORPF	5
htch	ORPG	2
htch	SA	19
hths	FW2	6
hths	NA	2
hths	OR	2
hths	SA	2
htn	ORPF	1
htn	SA	5
hzcd	FW	10
ibis	OR3	1
icis	FW2	24
idxp	FW	1
idxr	FW2	2
idxr	NA3	3
idxr	SA	8
imad	FW	1
imad	FW2	1
imad	NA	1
imad	NA2	1
imad	NA3	1
imad	OR2	1
imad	SA	1
imag	ORPF	3
imag	SA	51
imak	NA	1
imca	FW2	6
imco	FW2	7
imed	FW	7
imed	FW2	9
imed	NA	14
imed	NA2	13
imed	NA3	6
imed	OR	3
imed	ORPF	12
imed	ORPG	7
imed	ORPJ	2
imed	SA	8
imfl	OR	16
imfl	ORPB	13
imfl	ORPC	10
imfl	ORPD	16
imfl	ORPF	13
imfl	ORPG	13
imfl	ORPH	2
imfl	ORPJ	3
imfl	SA2	1
imga	FW	4
imga	SA	2
imgn	NA3	1
imgv	FW	4
imgv	FW2	3
imgv	NA	6
imgv	NA2	9
imgv	OR	5
imgv	SA	18
imid	FW2	2
imin	NA3	1
imks	FW	1
imky	NA	1
imky	NA3	6
imla	FW	5
immo	NA2	5
imnh	NA2	2
imob	NA	2
imok	NA3	2
impc	FW	4
impc	FW2	16
impc	NA	4
impc	NA2	26
impc	NA3	4
impc	OR	2
impc	ORPF	2
impc	SA	6
imsc	NA3	4
imtn	NA	11
imtx	FW	7
imtx	SA	29
imut	FW2	7
imva	NA2	11
inan	ORPF	2
infi	NA	2
inft	SA	3
init	FW	2
init	OR	18
init	ORPG	2
init	ORPH	3
intd	FW	2
intd	NA3	1
intq	FW	2
intq	FW2	2
intq	NA	3
intq	NA2	4
intq	NA3	5
intq	SA	3
iodn	FW	10
ipc	FW	1
ipc	FW2	7
ipc	NA	1
ipc	NA2	6
ipc	OR	6
ipc	ORPF	12
ipc	ORPG	1
ipc	ORPJ	2
ipc	SA	5
ipl	FW	95
ipl	FW2	111
ipl	NA	100
ipl	NA2	96
ipl	NA3	32
ipl	OR	14
ipl	OR3	2
ipl	ORPB	5
ipl	ORPC	10
ipl	ORPD	5
ipl	ORTA	4
ipl	SA	125
irnd	FW	3
isas	FW	1
isas	FW2	1
isas	NA	1
isas	NA2	1
isas	NA3	1
isas	OR2	1
isas	SA	1
itel	FW	2
itel	FW2	4
ivlk	FW2	1
ivlk	NA	11
ivlk	NA2	1
ivlk	NA3	1
ivlk	OR	4
ivlk	ORPF	1
kaiz	FW2	5
kdhl	NA3	3
kdhl	ORPG	4
kdhl	SA	3
khin	FW	4
kndx	FW	2
kndx	FW2	1
kpai	FW2	7
labc	FW	43
labc	FW2	47
labc	NA	74
labc	NA2	29
labc	NA3	36
labc	OR	42
labc	ORPF	6
labc	ORPG	18
labc	ORPH	2
labc	ORPJ	4
labc	SA	40
lanm	NA	2
lanm	NA2	8
lanm	OR	6
lanm	ORPF	3
lanm	ORPG	2
lbwk	OR	3
lees	OR	4
lion	OR	2
lion	SA	1
lits	FW2	1
logc	FW	3
logc	FW2	4
logc	NA	1
logc	NA2	6
logc	SA	1
lpti	NA2	2
mcal	FW2	3
mcal	NA2	2
mcal	NA3	1
mcal	OR	1
mcal	ORPG	1
mcal	ORPH	1
mcal	SA	1
mcar	FW	2
mcar	FW2	1
mcar	ORPF	1
mdas	NA3	1
mdmb	FW	1
mdmb	FW2	3
mdmb	NA2	4
mdmb	NA3	1
mdmb	ORPF	2
mdmb	SA	2
mdq	FW	1
mdq	FW2	15
mdq	NA	6
mdq	NA2	2
mdq	NA3	7
mdq	OR	2
mdq	ORPG	4
mdq	SA	1
mdrx	FW	1
mdrx	OR	1
mdrx	ORPG	2
mds	ORPF	2
mdsl	FW	9
mdsl	FW2	4
mdsl	NA	13
mdsl	NA3	9
mdsl	OR	5
medc	FW	12
medc	FW2	9
medc	NA	18
medc	NA2	21
medc	NA3	4
medc	ORPF	2
medc	ORPG	2
medc	ORPJ	1
medc	SA	19
medl	NA	1
medl	OR	1
medl	ORPF	1
mglk	FW	2
mglk	NA	7
mglk	NA2	2
mglk	NA3	2
mglk	ORPF	2
mglk	SA	4
mhub	FW	105
mhub	FW2	142
mhub	NA	153
mhub	NA2	118
mhub	NA3	84
mhub	OR	99
mhub	ORPF	84
mhub	ORPG	45
mhub	ORPH	9
mhub	ORPJ	15
mhub	SA	127
mids	FW	67
mids	FW2	85
mids	NA	81
mids	NA2	61
mids	NA3	21
mids	OR	66
mids	ORPF	44
mids	ORPG	31
mids	ORPH	6
mids	ORPJ	15
mids	SA	104
milm	OR	2
mmin	NA	8
mmin	OR	2
mmin	SA	10
mpath	NA	1
mpath	ORPF	5
mprt	OR	2
mrbt	NA	9
mrbt	NA2	11
mrbt	ORPF	3
mrbt	ORPG	3
mrbt	SA	11
mrc	NA3	2
mrs	FW	2
mrs	FW2	22
mrs	NA	4
mrs	NA3	5
mrs	ORPF	10
mrs	ORPG	2
mt	FW	599
mt	FW2	731
mt	NA	741
mt	NA2	570
mt	NA3	337
mt	OR	464
mt	OR2	1
mt	OR3	1
mt	ORPB	39
mt	ORPC	30
mt	ORPD	47
mt	ORPF	370
mt	ORPG	262
mt	ORPH	44
mt	ORPJ	79
mt	ORTA	5
mt	SA	701
mt	SA2	2
mtcs	FW	24
mtcs	FW2	29
mtcs	NA	52
mtcs	NA2	10
mtcs	NA3	34
mtcs	SA	7
mtm	FW2	1
mtm	OR	2
multi	FW	4
multi	FW2	9
multi	NA	9
multi	NA2	4
multi	NA3	10
multi	OR	1
multi	OR2	2
multi	ORPF	5
multi	ORPG	7
multi	ORPJ	1
multi	SA	15
muse	FW	55
muse	FW2	92
muse	NA	65
muse	NA2	51
muse	NA3	22
muse	OR	73
muse	ORPF	53
muse	ORPG	39
muse	ORPH	8
muse	ORPJ	12
muse	SA	36
neod	FW	9
neod	FW2	2
neod	NA2	12
neod	NA3	2
neod	OR	3
ngag	NA	1
nhhd	NA2	2
nicu	FW	3
nicu	FW2	2
nicu	OR	3
niko	OR	3
none	FW	1
none	FW2	14
none	NA	21
none	NA2	4
none	OR	4
none	ORPG	3
none	ORPJ	1
none	SA	15
notf	FW	10
notf	FW2	30
notf	NA2	3
novo	FW2	2
novo	NA	4
nowk	NA	2
nrtl	FW	6
nrtl	NA	2
nrtl	NA3	1
nrtl	OR	2
nrtl	ORPF	2
nrtl	SA	6
nvcr	FW	3
nvcr	FW2	2
nvcr	NA	2
nvcr	NA3	2
nvcr	ORPG	3
nvcr	ORPJ	2
nvpc	FW	2
nvpc	FW2	11
nvpc	NA	22
nvpc	NA2	2
nvpc	NA3	18
nvpc	OR	4
oais	NA3	4
obtr	FW2	2
obtr	NA	3
obtr	NA3	3
obtr	OR	1
obtr	ORPF	1
obtr	ORPG	1
oep	FW	1
oep	NA	1
oep	NA2	2
oep	NA3	1
oep	ORPH	1
oep	SA	1
oflx	FW	130
oflx	FW2	164
oflx	NA	186
oflx	NA2	151
oflx	NA3	59
oflx	OR	111
oflx	ORPF	86
oflx	ORPG	54
oflx	ORPH	11
oflx	ORPJ	18
oflx	SA	166
oimx	NA	2
oimx	OR	7
omhb	FW	8
omhb	NA	2
omni	SA	3
ompm	SA	3
ompt	FW	2
ompt	FW2	2
ompt	SA	2
onbs	FW	22
onbs	FW2	28
onbs	NA	27
onbs	NA2	23
onbs	NA3	8
onbs	OR	17
onbs	ORPF	17
onbs	ORPG	9
onbs	ORPH	2
onbs	ORPJ	3
onbs	SA	25
onco	NA3	5
oncu	FW	4
opdr	NA	3
optm	SA	34
osur	FW	4
osur	NA	6
osur	NA3	3
osur	OR	40
osur	SA	12
pa	FW	2
pa	FW2	2
pa	NA	4
pa	NA3	2
pacm	NA	10
pacs	FW	50
pacs	FW2	94
pacs	NA	36
pacs	NA2	64
pacs	NA3	33
pacs	OR	6
pacs	ORPF	61
pacs	ORPG	36
pacs	ORPH	6
pacs	ORPJ	7
pacs	SA	3
paml	FW2	6
pcpn	FW	16
pcpn	NA	19
pcpn	NA2	18
pcpn	NA3	5
pcpn	OR	18
pcpn	ORPF	13
pcpn	ORPG	12
pcpn	ORPH	2
pcpn	ORPJ	3
pcpn	SA	18
penr	FW	2
penr	FW2	3
penr	NA	2
penr	NA2	9
penr	ORPG	2
peri	NA3	4
peri	ORPG	4
pfts	ORPF	1
phes	NA3	1
phlk	FW2	3
phlk	NA3	3
phlk	ORPG	3
phlk	ORPH	2
phns	SA	2
phy	FW	1
phy	FW2	7
phy	NA	6
phy	NA2	8
phy	NA3	6
phy	ORPG	6
phy	SA	6
phyc	NA	6
pkp	NA3	1
pkp	ORPG	6
pkp	ORPH	1
pkp	ORPJ	2
pkp	SA	1
plth	FW	2
pmed	FW	7
pmed	FW2	10
pmed	NA	14
pmed	NA3	4
pmed	SA	4
pnav	FW	9
pnav	FW2	10
pnav	NA	13
pnav	NA2	29
pnav	NA3	3
pnav	OR	5
pnav	ORPG	2
pnav	ORPJ	1
pnav	SA	13
prat	SA	3
prcs	FW	8
prcs	FW2	13
prcs	NA	26
prcs	NA2	6
prcs	NA3	23
prcs	OR	17
prcs	ORPF	13
prcs	ORPG	11
prcs	ORPH	2
prcs	ORPJ	4
prcs	SA	12
prev	OR	2
prev	ORPG	1
prev	ORPJ	1
prml	FW2	1
psen	SA	2
pshl	NA3	2
psys	NA	20
psys	NA2	6
ptho	SA	1
ptmg	NA3	2
pwph	FW2	9
pwrs	FW	9
pwrs	FW2	44
pwrs	NA	36
pwrs	NA2	34
pwrs	NA3	16
pwrs	OR	6
pwrs	ORPG	2
pwrs	ORPJ	4
pwrs	SA	33
pyxm	FW	85
pyxm	FW2	81
pyxm	NA	84
pyxm	NA2	64
pyxm	NA3	29
pyxm	OR	54
pyxm	ORPF	42
pyxm	ORPG	28
pyxm	ORPH	6
pyxm	ORPJ	9
pyxm	SA	81
pyxs	FW	2
pyxs	FW2	2
pyxs	NA	1
pyxs	NA2	3
pyxs	OR	3
pyxs	SA	16
qmi	FW	24
qmi	FW2	13
qmi	NA	15
qmi	NA2	12
qmi	NA3	4
qmi	OR	5
qmi	ORPF	3
qmi	ORPG	4
qmi	ORPJ	2
qmi	SA	51
qtel	FW2	1
qust	FW	8
qust	FW2	29
qust	NA	4
qust	NA2	2
qust	NA3	2
qust	ORPJ	2
qust	SA	22
radc	NA	2
radc	SA	2
radw	FW	21
radw	FW2	2
radw	NA	3
ralf	FW2	2
ralf	NA2	2
ralf	OR	2
ralf	SA	2
rall	NA	2
rals	FW	44
rals	FW2	36
rals	NA	27
rals	NA2	37
rals	NA3	13
rals	OR	11
rals	ORPF	27
rals	ORPG	16
rals	ORPH	2
rals	ORPJ	8
rals	SA	44
rdoc	FW	14
rdoc	FW2	4
rdoc	NA	26
rdoc	NA2	30
rdoc	NA3	10
rdoc	OR	6
rdoc	ORPG	6
rdoc	SA	12
rdtr	FW	1
rdtr	FW2	4
rdtr	NA	1
rdtr	OR	14
rdtr	ORPF	3
rdtr	ORPH	2
rdtr	SA	3
rdwe	FW	10
rdwe	FW2	14
rdwe	NA	22
rdwe	NA2	30
reco	FW	1
reco	FW2	1
reco	NA	1
reco	NA2	1
reco	NA3	1
reco	OR2	1
reco	SA	1
rgen	NA	3
rinc	NA3	3
rlay	FW	3
rlay	FW2	2
rlay	NA	1
rlay	NA3	1
rlvw	FW2	1
rml	FW	2
rpgo	NA	6
rpgo	ORPF	1
rpgo	ORPG	1
rpha	FW2	3
rpha	NA	3
rpit	FW	2
rpit	FW2	5
rpit	SA	2
rplp	FW	8
rplp	FW2	5
rplp	NA	27
rplp	NA2	10
rplp	NA3	32
rplp	OR	4
rspd	FW	5
rspd	FW2	3
rspd	NA	7
rspd	NA2	5
rspd	NA3	1
rspd	OR	7
rspd	ORPF	2
rspd	ORPG	1
rspd	ORPH	2
rspd	ORPJ	2
rspd	SA	9
rxhx	NA	12
rxhx	NA2	1
rxhx	NA3	1
rxhx	OR	14
rxhx	ORPF	2
rxhx	ORPG	2
rxhx	ORPH	2
rxhx	ORPJ	1
sasu	NA3	3
sasu	SA	6
scrp	FW	4
scrp	FW2	1
scrp	NA	15
scrp	NA2	14
scrp	NA3	9
scrp	OR	2
scrp	ORPF	21
scrp	ORPG	15
scrp	ORPJ	4
scrp	SA	31
seer	OR	2
sen7	FW	3
sen7	FW2	15
sen7	NA	33
sen7	NA2	6
sen7	NA3	24
sen7	OR	6
sen7	ORPF	3
sen7	ORPG	3
sent	FW2	1
sent	NA2	2
sent	NA3	1
sfsc	FW	5
sfsc	NA3	4
sftm	FW	2
sftp	OR	7
shbg	OR3	2
smrt	FW	150
smrt	FW2	189
smrt	NA	220
smrt	NA2	152
smrt	NA3	84
smrt	OR	112
smrt	ORPF	74
smrt	ORPG	49
smrt	ORPH	10
smrt	ORPJ	15
smrt	SA	168
spgl	NA3	2
spgm	OR	6
spqr	FW	13
spqr	FW2	6
spqr	NA	2
spqr	OR	30
spqr	ORPG	2
spqr	ORPH	4
ssca	FW2	2
sscn	FW	1
sscn	FW2	4
sscn	NA	17
sscn	NA2	20
sscn	NA3	6
ssfl	NA3	1
ssfl	OR	14
ssfl	ORPB	13
ssfl	ORPC	10
ssfl	ORPD	16
ssfl	ORPF	13
ssfl	ORPG	13
ssfl	ORPH	2
ssfl	ORPJ	3
ssfl	SA	1
ssga	NA	8
ssin	NA3	1
ssla	FW	6
ssmo	NA2	4
ssnh	NA2	2
ssnv	FW2	3
sstn	NA	2
sstx	FW	13
sstx	SA	24
ssut	FW2	5
ssva	NA2	11
star	NA	6
stel	ORPG	1
stpc	ORPF	4
swrk	NA2	1
swrk	ORPF	2
swrk	ORPG	6
swrk	ORPJ	1
synp	FW	16
synp	FW2	13
synp	NA	43
synp	NA2	2
synp	OR	2
synp	ORPG	4
synp	SA	2
tams	FW	3
tbtr	FW	15
tbtr	FW2	11
tbtr	NA	4
tbtr	NA2	15
tbtr	NA3	6
tbtr	OR	3
tbtr	ORPF	6
tbtr	ORPJ	2
tbtr	SA	23
tchm	NA2	5
tcor	FW2	4
tcor	NA	1
tcor	NA2	3
tcor	ORPF	2
tcor	SA	4
tdes	SA	1
tdoc	FW	72
tdoc	FW2	89
tdoc	NA	76
tdoc	NA2	72
tdoc	NA3	24
tdoc	OR	52
tdoc	ORPF	56
tdoc	ORPG	36
tdoc	ORPH	4
tdoc	ORPJ	12
tdoc	SA	92
telo	NA	1
telo	OR	2
temh	QA3	1
tmhl	OR	3
tms	FW	20
tms	FW2	18
tms	NA	20
tms	NA2	15
tms	NA3	13
tms	OR	13
tms	ORPF	9
tms	ORPG	7
tms	SA	19
trco	FW	9
trco	SA	1
trmd	FW2	1
trmv	FW2	22
trmv	NA	4
trmv	NA2	2
trmv	NA3	2
trnc	ORPF	1
trs	FW	4
trs	NA	18
trs	NA3	6
trs	ORPF	1
trs	ORPG	2
trs	SA	2
tsys	FW	44
tsys	FW2	88
tsys	NA	23
tsys	NA2	9
tsys	NA3	17
tsys	OR	3
tsys	ORPF	3
